mine_id,mine_name,district,mineral_type,lease_area_ha,latitude,longitude,status,avg_rainfall_mm,max_rainfall_mm,rainfall_variability,avg_temp_c,max_avg_temp_c,min_avg_temp_c,extreme_max_temp_c,extreme_min_temp_c,elevation_m,slope_degrees,aspect_degrees,terrain_ruggedness_index,rock_stability_index,fracture_density,weathering_index,joint_spacing_m,ucs_mpa,rainfall_intensity,temperature_stress,slope_risk_factor,geological_risk,environmental_risk_score
718,Mine_00718,Krishnagiri,Granite,17.8,12.529537,79.693133,Active,205.04,503.73,154.06,23.48,30.73,16.75,37.1,9.27,785.79,16.66,175.96,7.86,0.821,0.308,0.329,2.65,111.47,2.4567401482637536,2.7830000000000004,0.37022222222222223,0.055132000000000014,0.93
719,Mine_00719,Cuddalore,Iron Ore,18.01,12.43143,77.476808,Active,227.37,459.6,164.1,23.54,30.98,15.52,38.21,9.25,1108.61,36.84,149.18,15.36,0.641,0.366,0.342,3.59,24.58,2.021374851563531,2.896,0.8186666666666668,0.13139399999999998,1.013
720,Mine_00720,Virudhunagar,Granite,17.75,13.020908,78.545597,Active,230.94,447.0,156.47,22.8,28.69,15.15,34.23,8.52,850.31,17.58,35.33,7.97,0.681,0.255,0.554,2.3,26.31,1.9355676799168615,2.5709999999999997,0.3906666666666666,0.08134499999999999,0.841
721,Mine_00721,Tuticorin,Sand,34.37,12.19036,79.516775,Active,210.3,468.92,159.9,23.32,30.65,14.81,36.35,8.25,547.0,12.92,99.77,5.86,0.269,0.717,0.511,4.34,38.21,2.2297669995244886,2.81,0.2871111111111111,0.524127,1.021
722,Mine_00722,Dharmapuri,Marble,108.57,11.761265,78.392075,Active,196.58,466.79,151.85,23.61,32.16,15.7,38.31,8.3,987.55,15.08,251.28,7.47,0.707,0.33,0.799,3.29,52.88,2.374554888594974,3.0010000000000003,0.33511111111111114,0.09669000000000001,0.984
723,Mine_00723,Tirunelveli,Sandstone,11.5,11.597881,78.786576,Active,222.62,419.1,156.43,23.96,30.21,15.99,38.57,10.37,797.22,8.52,24.41,7.51,0.402,0.482,0.725,1.66,66.32,1.8825801814751595,2.8200000000000003,0.18933333333333333,0.288236,0.874
724,Mine_00724,Vellore,Granite,74.54,9.231904,77.076141,Closed,110.12,218.75,74.62,24.53,31.54,16.65,39.45,10.55,788.05,16.3,184.8,7.55,0.89,0.334,0.677,3.96,37.06,1.9864693062114056,2.89,0.3622222222222222,0.036739999999999995,0.874
725,Mine_00725,Tirunelveli,Iron Ore,1.8,11.813343,78.917062,Active,205.31,444.58,143.22,23.53,29.17,14.62,35.36,8.92,762.29,14.73,340.27,6.73,0.612,0.35,0.701,4.61,105.92,2.165408406799474,2.6439999999999997,0.32733333333333337,0.1358,0.907
726,Mine_00726,Tiruppur,Marble,112.66,8.257322,77.438434,Active,91.64,204.39,69.08,25.52,32.49,18.82,40.82,12.26,228.5,14.24,271.43,9.15,0.83,0.387,0.749,0.75,181.15,2.23035792230467,2.8560000000000003,0.3164444444444445,0.06579000000000002,0.921
727,Mine_00727,Coimbatore,Sand,4.48,9.951937,77.859276,Active,145.58,328.44,109.3,24.52,31.9,16.2,39.52,9.95,827.59,8.23,328.19,6.41,0.27,0.721,0.211,1.6,110.45,2.256079131748866,2.9570000000000003,0.1828888888888889,0.52633,0.981
728,Mine_00728,Tuticorin,Sandstone,20.12,8.999784,76.705657,Active,121.5,245.55,87.44,25.03,32.78,17.17,39.91,11.5,768.05,10.8,159.07,5.43,0.435,0.523,0.678,0.98,187.47,2.020987654320988,2.8409999999999997,0.24000000000000002,0.295495,0.917
729,Mine_00729,Kanyakumari,Silica Sand,9.94,10.850519,79.195516,Active,197.4,357.19,126.74,23.92,30.94,17.13,39.09,10.6,279.68,8.95,199.7,7.12,0.461,0.807,0.784,2.33,159.39,1.8094731509625126,2.849,0.19888888888888887,0.43497299999999994,0.915
730,Mine_00730,Dharmapuri,Silica Sand,138.53,9.442886,77.408726,Active,121.93,227.66,78.53,25.15,32.42,18.23,39.84,10.23,336.55,7.1,316.9,5.59,0.331,0.58,0.609,1.44,23.55,1.867136881817436,2.9610000000000003,0.15777777777777777,0.38802,0.894
731,Mine_00731,Salem,Salt,24.99,10.087892,77.42464,Active,142.16,316.12,105.11,24.65,33.31,17.14,39.71,11.85,677.34,24.68,358.87,11.06,0.866,0.192,0.314,4.53,20.71,2.223691615081598,2.786,0.5484444444444444,0.025728,0.927
732,Mine_00732,Kanyakumari,Iron Ore,15.12,8.236788,79.514337,Active,73.77,135.28,43.24,25.07,32.87,17.09,37.96,11.03,575.56,12.86,175.02,6.91,0.837,0.479,0.788,3.46,59.74,1.833807780940762,2.693,0.28577777777777774,0.07807700000000001,0.824
733,Mine_00733,Perambalur,Marble,89.62,11.619302,76.036266,Active,174.57,361.19,117.46,23.7,31.05,15.32,38.96,9.71,1668.39,38.0,58.89,14.85,0.603,0.281,0.618,2.66,123.25,2.0690267514464113,2.925,0.8444444444444444,0.11155700000000002,1.055
734,Mine_00734,Tuticorin,Marble,98.63,9.381431,79.798955,Active,110.86,266.26,78.88,24.24,31.89,15.81,37.46,9.83,423.1,11.55,194.83,4.18,0.685,0.32,0.584,1.72,162.4,2.4017679956702147,2.7630000000000003,0.2566666666666667,0.10079999999999999,0.922
735,Mine_00735,Ariyalur,Limestone,14.75,11.151732,77.46345,Active,214.38,402.91,145.57,23.38,30.0,15.08,38.33,8.64,1251.62,29.05,119.14,9.25,0.63,0.525,0.27,1.95,180.53,1.8794197219889917,2.969,0.6455555555555555,0.19425,0.952
736,Mine_00736,Dharmapuri,Limestone,153.32,13.31161,77.778199,Active,246.22,536.75,192.91,22.92,30.37,14.84,38.34,7.35,2185.87,29.1,29.99,8.89,0.486,0.405,0.261,3.72,114.02,2.1799610104784337,3.099,0.6466666666666667,0.20817000000000002,1.028
737,Mine_00737,Karur,Iron Ore,44.48,12.429865,80.260403,Active,244.39,483.04,161.21,23.07,29.19,15.48,36.26,9.07,863.64,20.39,198.57,8.1,0.776,0.443,0.505,2.96,183.18,1.9765129506117274,2.719,0.45311111111111113,0.09923199999999999,0.883
738,Mine_00738,Tiruppur,Silica Sand,12.37,13.446828,76.115963,Active,279.6,552.77,209.94,22.41,27.48,14.76,34.47,7.86,525.15,18.04,338.04,8.78,0.336,0.588,0.219,0.51,151.21,1.9770028612303288,2.661,0.40088888888888885,0.39043199999999995,0.921
739,Mine_00739,Theni,Sand,22.55,9.674709,76.89143,Active,145.65,312.46,110.35,24.96,30.8,17.06,38.84,9.79,1373.81,38.15,356.75,12.96,0.287,0.765,0.768,3.3,150.14,2.145279780295228,2.9050000000000002,0.8477777777777777,0.5454450000000001,1.214
740,Mine_00740,Dindigul,Iron Ore,21.78,10.732925,80.126239,Active,168.63,347.94,124.93,23.82,29.8,15.47,37.06,8.87,704.63,7.74,201.93,6.35,0.582,0.333,0.589,1.88,91.65,2.063333926347625,2.8190000000000004,0.17200000000000001,0.139194,0.847
741,Mine_00741,Salem,Sandstone,23.35,12.384661,79.259046,Active,194.85,502.74,142.22,23.2,30.64,16.61,37.2,8.76,851.18,14.66,201.52,8.83,0.56,0.672,0.436,4.14,75.68,2.5801385681293305,2.8440000000000003,0.3257777777777778,0.29568,1.03
742,Mine_00742,Tuticorin,Limestone,65.38,8.288152,76.718312,Active,87.67,169.87,57.02,24.67,31.96,18.07,38.92,10.73,1217.72,27.7,83.56,12.88,0.523,0.436,0.246,0.82,147.93,1.937606935097525,2.819,0.6155555555555555,0.207972,0.941
743,Mine_00743,Kanyakumari,Limestone,10.71,12.56583,80.267132,Active,245.34,500.46,183.28,23.53,32.05,15.89,38.59,8.7,892.07,19.01,133.69,9.62,0.603,0.503,0.286,4.98,181.36,2.039863047199804,2.9890000000000003,0.42244444444444446,0.199691,0.922
744,Mine_00744,Perambalur,Sand,13.13,9.527455,76.161686,Active,140.5,293.07,110.02,24.59,32.57,18.11,38.91,10.67,1573.42,26.66,328.41,11.06,0.241,0.644,0.778,1.69,145.58,2.0859074733096086,2.8239999999999994,0.5924444444444444,0.488796,1.102
745,Mine_00745,Erode,Silica Sand,21.79,8.053278,79.860798,Active,86.64,178.82,59.59,25.34,31.47,18.55,39.81,13.01,726.81,9.61,70.92,6.01,0.445,0.778,0.426,4.1,46.11,2.063942751615882,2.6800000000000006,0.21355555555555555,0.43178999999999995,0.917
746,Mine_00746,Kanyakumari,Silica Sand,15.06,9.363303,79.139723,Active,116.62,274.53,92.53,24.77,31.8,16.29,39.52,10.73,552.25,19.5,111.14,8.37,0.366,0.64,0.393,1.49,52.0,2.3540559080775165,2.8790000000000004,0.43333333333333335,0.40576,1.05
747,Mine_00747,Virudhunagar,Marble,31.43,9.513815,79.192475,Closed,140.76,299.49,113.41,24.73,32.28,16.45,39.36,9.32,627.28,23.72,144.54,8.26,0.624,0.291,0.774,1.62,134.25,2.12766410912191,3.004,0.5271111111111111,0.109416,0.994
748,Mine_00748,Ariyalur,Sand,28.79,9.069462,76.419383,Active,100.68,250.69,76.4,25.09,30.47,17.67,38.33,10.83,517.93,21.01,322.95,7.22,0.297,0.791,0.367,3.51,30.95,2.489968216130314,2.75,0.4668888888888889,0.556073,1.117
749,Mine_00749,Virudhunagar,Silica Sand,10.03,9.74655,77.167248,Active,133.22,296.21,95.2,25.15,32.43,17.77,38.24,9.28,448.28,5.03,295.48,2.61,0.374,0.654,0.516,0.74,151.42,2.223464945203423,2.896,0.11177777777777778,0.409404,0.942
750,Mine_00750,Ariyalur,Sandstone,8.59,8.278076,78.819057,Active,82.93,183.82,64.91,24.96,30.51,18.12,37.12,10.89,309.73,10.29,337.56,6.08,0.492,0.59,0.475,4.74,185.09,2.2165681900397924,2.6229999999999998,0.22866666666666666,0.29972,0.912
751,Mine_00751,Tiruvannamalai,Silica Sand,16.14,11.64538,79.917852,Active,213.45,442.19,157.71,23.96,31.21,16.33,36.75,9.49,748.4,19.26,291.93,10.33,0.465,0.815,0.247,4.52,71.1,2.0716327008667137,2.726,0.42800000000000005,0.4360249999999999,0.971
752,Mine_00752,Tiruvannamalai,Sandstone,20.07,10.914673,76.726153,Active,167.5,346.99,116.58,23.97,31.61,16.41,38.82,9.59,789.62,9.29,197.11,6.84,0.568,0.682,0.328,3.61,110.8,2.0715820895522388,2.923,0.20644444444444443,0.29462400000000005,0.89
753,Mine_00753,Dindigul,Sandstone,57.11,8.846449,76.671623,Active,89.34,188.56,66.94,24.83,30.78,17.66,37.78,11.45,889.03,24.42,309.13,11.41,0.436,0.523,0.482,4.24,105.12,2.110588762032684,2.633,0.5426666666666667,0.29497200000000007,0.985
754,Mine_00754,Cuddalore,Sand,21.0,11.738335,76.255062,Active,195.46,442.36,137.71,23.65,30.91,15.9,38.01,8.95,1344.01,33.0,47.02,14.43,0.36,0.959,0.295,3.99,162.98,2.2631740509567173,2.9059999999999997,0.7333333333333333,0.61376,1.177
755,Mine_00755,Vellore,Silica Sand,47.78,9.063894,78.88677,Active,106.95,209.57,76.41,24.95,31.84,17.39,38.57,11.29,341.45,11.96,307.61,6.03,0.345,0.604,0.765,4.54,174.98,1.959513791491351,2.728,0.2657777777777778,0.39562,0.94
756,Mine_00756,Vellore,Silica Sand,14.95,8.671613,76.500117,Active,119.98,237.65,92.83,25.23,31.39,17.36,38.54,11.18,1013.04,44.13,57.69,17.59,0.456,0.797,0.272,2.48,118.68,1.9807467911318553,2.7359999999999998,0.9806666666666667,0.43356800000000006,1.121
757,Mine_00757,Cuddalore,Silica Sand,62.53,8.776092,78.45512,Active,107.11,224.11,71.19,25.32,32.23,16.85,38.21,9.7,244.56,11.67,333.17,6.46,0.376,0.658,0.72,2.36,147.19,2.092334982728037,2.851,0.2593333333333333,0.410592,0.977
758,Mine_00758,Erode,Limestone,42.73,10.943338,76.369107,Active,167.14,401.44,128.01,24.21,28.85,17.4,36.03,9.39,1696.52,23.87,122.69,8.71,0.707,0.589,0.518,1.37,195.96,2.401818834509992,2.664,0.5304444444444445,0.172577,1.009
759,Mine_00759,Vellore,Sandstone,1.22,10.444905,78.270786,Closed,158.44,306.42,113.33,24.25,31.58,17.07,39.68,10.03,788.23,19.7,145.46,8.96,0.421,0.505,0.489,2.1,37.69,1.9339813178490282,2.965,0.43777777777777777,0.29239499999999996,0.951
760,Mine_00760,Vellore,Iron Ore,17.34,12.189217,78.281871,Active,252.0,484.97,185.69,23.4,30.67,14.28,38.32,8.62,332.93,11.73,330.54,8.17,0.837,0.478,0.56,2.92,85.83,1.924484126984127,2.97,0.26066666666666666,0.07791400000000001,0.839
761,Mine_00761,Namakkal,Sand,38.64,10.261548,77.923689,Active,134.41,329.95,96.35,24.55,32.43,16.3,38.38,9.47,934.66,19.16,213.6,8.0,0.345,0.921,0.225,4.61,74.0,2.4548024700543114,2.8910000000000005,0.42577777777777776,0.6032550000000001,1.111
762,Mine_00762,Coimbatore,Salt,9.0,13.139382,79.100894,Active,223.59,551.16,162.83,22.98,29.58,14.56,34.5,8.11,242.67,2.9,285.94,1.39,0.752,0.167,0.414,1.31,190.22,2.4650476318261103,2.6390000000000002,0.06444444444444444,0.041416,0.83
763,Mine_00763,Krishnagiri,Iron Ore,60.48,8.089102,79.682712,Active,77.49,183.94,59.94,25.43,32.27,16.99,39.44,11.31,376.0,9.32,67.42,4.25,0.798,0.456,0.602,3.35,74.59,2.373725642018325,2.8129999999999997,0.2071111111111111,0.09211199999999999,0.906
764,Mine_00764,Coimbatore,Granite,8.68,11.586512,79.514137,Active,191.59,443.27,142.52,24.23,31.44,17.77,37.81,10.26,690.0,13.48,77.22,5.0,0.673,0.252,0.322,4.75,42.56,2.313638498877812,2.7550000000000003,0.2995555555555556,0.08240399999999999,0.885
765,Mine_00765,Perambalur,Limestone,28.67,8.335539,77.295241,Active,102.04,185.69,69.16,25.14,32.35,16.88,40.62,10.1,306.3,4.68,169.2,4.66,0.707,0.589,0.478,2.24,154.72,1.8197765582124656,3.0519999999999996,0.104,0.172577,0.8
766,Mine_00766,Erode,Iron Ore,5.8,8.834765,80.003095,Closed,112.61,249.2,93.64,24.71,32.62,16.52,39.31,10.52,242.53,3.18,187.42,2.23,0.686,0.392,0.401,4.24,67.52,2.212947340378297,2.8790000000000004,0.07066666666666667,0.12308799999999999,0.829
767,Mine_00767,Salem,Granite,34.26,10.359843,77.241652,Active,173.11,346.61,130.53,24.74,31.4,17.67,37.93,11.36,709.02,7.78,26.55,6.91,0.747,0.28,0.206,2.35,179.71,2.00225290277858,2.657,0.1728888888888889,0.07084000000000001,0.76
768,Mine_00768,Dindigul,Marble,15.65,11.636274,78.935059,Closed,177.03,432.16,138.18,23.83,30.97,15.24,38.97,8.93,578.83,19.87,46.85,6.92,0.845,0.394,0.78,3.56,116.87,2.4411681635880926,3.004,0.4415555555555556,0.06107000000000001,1.017
769,Mine_00769,Tirunelveli,Sandstone,9.55,8.671041,79.156225,Active,103.03,219.12,76.04,25.38,31.58,18.67,37.73,11.02,417.75,0.81,39.92,0.31,0.413,0.496,0.592,3.96,175.64,2.1267591963505774,2.671,0.018000000000000002,0.29115199999999997,0.844
770,Mine_00770,Karur,Salt,26.04,13.108728,77.493872,Active,223.74,536.25,165.33,22.58,29.55,14.31,34.42,7.65,1573.42,15.21,186.6,7.16,0.913,0.203,0.581,1.41,23.84,2.3967551622418877,2.6770000000000005,0.338,0.017660999999999993,0.912
771,Mine_00771,Theni,Limestone,3.4,9.422254,76.125335,Active,89.0,163.49,54.57,25.37,33.15,17.59,39.96,11.2,1478.49,15.83,249.45,8.98,0.535,0.446,0.216,1.6,86.06,1.8369662921348315,2.8760000000000003,0.3517777777777778,0.20739,0.844
772,Mine_00772,Salem,Granite,51.53,10.709295,78.850353,Active,161.43,356.2,123.59,24.24,32.27,16.09,38.93,10.61,844.15,18.03,37.87,5.43,0.836,0.314,0.798,2.57,170.38,2.206529145759772,2.832,0.40066666666666667,0.051496000000000014,0.94
773,Mine_00773,Tuticorin,Limestone,88.43,11.172847,78.537638,Active,163.72,400.31,118.54,23.91,31.15,15.69,39.24,9.26,893.47,13.11,290.09,5.29,0.538,0.448,0.614,1.94,54.55,2.445089176643049,2.998,0.29133333333333333,0.206976,1.0
774,Mine_00774,Dindigul,Silica Sand,36.74,9.875272,80.127706,Active,149.4,276.06,95.66,24.39,31.51,17.14,37.9,10.89,978.97,14.22,148.16,4.62,0.359,0.628,0.537,2.18,34.46,1.8477911646586345,2.7009999999999996,0.316,0.402548,0.909
775,Mine_00775,Theni,Silica Sand,50.17,9.613444,78.364616,Active,137.59,284.36,94.76,24.22,31.85,16.46,37.89,10.53,203.71,9.27,293.92,6.33,0.446,0.781,0.465,0.9,57.76,2.0667199651137436,2.7359999999999998,0.206,0.43267400000000006,0.925
776,Mine_00776,Kanyakumari,Sandstone,62.85,11.719986,79.058349,Closed,190.69,412.62,144.17,23.96,31.97,15.87,38.73,8.99,558.8,7.89,355.82,6.1,0.442,0.53,0.514,0.51,80.73,2.1638261051969163,2.9739999999999993,0.1753333333333333,0.29574000000000006,0.923
777,Mine_00777,Erode,Silica Sand,1.0,9.49575,76.980511,Active,127.73,294.84,100.5,24.7,30.75,17.75,35.19,10.99,595.69,10.18,156.04,5.29,0.475,0.831,0.662,2.39,117.8,2.308306584201049,2.4199999999999995,0.2262222222222222,0.436275,0.969
778,Mine_00778,Vellore,Sandstone,36.0,8.089339,79.279501,Active,95.21,183.45,64.59,25.34,31.79,18.64,40.33,13.51,317.01,7.09,64.37,6.46,0.503,0.604,0.361,4.24,148.07,1.926793404054196,2.682,0.15755555555555556,0.300188,0.827
779,Mine_00779,Kanyakumari,Granite,32.53,9.88502,76.605593,Active,111.29,236.52,78.19,24.24,32.69,16.26,38.72,10.47,1635.36,26.2,258.06,8.11,0.788,0.295,0.222,1.13,140.02,2.125258334082128,2.825,0.5822222222222222,0.06253999999999998,0.923
780,Mine_00780,Theni,Granite,100.24,11.573834,76.465454,Active,215.13,432.94,156.52,23.85,29.97,18.46,36.23,11.94,1027.4,28.57,90.55,12.0,0.7,0.263,0.409,3.31,57.74,2.0124575837865475,2.429,0.634888888888889,0.07890000000000001,0.9
781,Mine_00781,Tiruppur,Sand,60.53,8.650202,76.000138,Active,106.58,207.81,79.83,25.34,32.54,16.36,38.32,9.73,834.67,13.11,173.5,6.9,0.349,0.931,0.301,4.16,105.32,1.9498029649089885,2.859,0.29133333333333333,0.6060810000000001,0.975
782,Mine_00782,Dharmapuri,Granite,6.42,8.506543,79.668743,Active,110.5,221.13,84.24,25.34,33.36,17.99,39.72,11.38,894.16,6.1,200.47,3.22,0.646,0.242,0.791,2.9,153.88,2.001176470588235,2.8339999999999996,0.13555555555555554,0.085668,0.829
783,Mine_00783,Virudhunagar,Iron Ore,91.62,11.042116,79.655162,Active,207.95,401.76,144.09,24.4,31.35,15.29,39.06,9.0,942.72,24.98,200.64,11.02,0.807,0.461,0.462,1.2,88.8,1.9320028853089686,3.0060000000000002,0.5551111111111111,0.08897299999999998,0.926
784,Mine_00784,Salem,Sandstone,10.23,10.144449,78.160213,Closed,142.08,332.64,101.94,24.59,32.39,17.57,38.75,12.54,932.69,21.72,142.24,10.77,0.478,0.574,0.795,4.76,22.36,2.341216216216216,2.621,0.48266666666666663,0.299628,1.045
785,Mine_00785,Theni,Sand,70.81,13.372369,77.821263,Active,241.39,587.55,181.88,22.9,30.51,15.06,37.51,8.65,1072.58,18.41,159.06,7.77,0.346,0.924,0.507,0.93,66.24,2.434027921620614,2.886,0.4091111111111111,0.604296,1.13
786,Mine_00786,Kanyakumari,Iron Ore,24.93,9.76015,78.144076,Active,144.96,272.89,95.14,24.45,33.23,17.16,40.05,10.65,539.61,24.87,21.04,9.99,0.808,0.462,0.391,2.47,61.1,1.882519315673289,2.94,0.5526666666666666,0.08870399999999998,0.902
787,Mine_00787,Krishnagiri,Granite,78.52,11.257658,79.125942,Active,182.5,371.31,121.84,24.01,31.71,16.64,38.22,11.84,462.43,0.29,212.24,2.65,0.936,0.351,0.736,1.34,152.73,2.0345753424657533,2.638,0.006444444444444444,0.02246399999999998,0.753
788,Mine_00788,Krishnagiri,Iron Ore,43.94,8.657591,78.576893,Active,100.18,209.24,72.69,24.95,32.53,17.39,38.05,11.36,702.68,12.19,86.28,6.63,0.715,0.409,0.634,1.91,98.64,2.088640447195049,2.6689999999999996,0.2708888888888889,0.116565,0.864
789,Mine_00789,Tiruppur,Granite,22.2,13.470763,76.416252,Active,311.9,574.01,226.89,22.2,29.08,13.45,37.39,7.54,1434.2,17.61,40.78,7.47,0.762,0.286,0.745,3.13,132.5,1.8403655017633858,2.9850000000000003,0.3913333333333333,0.06806799999999999,0.879
790,Mine_00790,Madurai,Sandstone,58.35,9.691414,78.214245,Active,112.25,267.25,79.9,25.55,31.84,18.24,39.12,11.48,499.36,4.78,281.05,2.07,0.529,0.635,0.296,1.9,107.88,2.3808463251670378,2.764,0.10622222222222223,0.299085,0.904
791,Mine_00791,Virudhunagar,Silica Sand,10.25,11.03078,78.356036,Active,201.92,378.36,130.34,24.63,31.69,15.57,38.42,9.19,808.14,22.5,151.9,8.03,0.368,0.644,0.216,0.63,119.07,1.8738114104595882,2.9230000000000005,0.5,0.40700800000000004,0.961
792,Mine_00792,Namakkal,Limestone,13.02,12.243316,78.933554,Active,257.26,480.51,172.26,23.15,31.79,14.53,38.25,9.17,483.2,6.44,300.41,3.3,0.701,0.584,0.402,4.95,21.87,1.8677991137370753,2.908,0.14311111111111113,0.17461600000000002,0.8
793,Mine_00793,Kanyakumari,Sand,25.71,8.366816,76.216415,Closed,89.88,208.39,71.37,25.02,31.83,17.88,36.8,11.92,1387.34,24.97,173.74,9.57,0.285,0.76,0.495,2.88,150.44,2.318535825545171,2.4879999999999995,0.5548888888888889,0.5434000000000001,1.091
794,Mine_00794,Dindigul,Iron Ore,29.63,9.494826,77.796251,Closed,137.94,287.31,101.33,24.88,33.27,16.28,40.04,10.56,259.38,7.09,52.59,3.73,0.811,0.463,0.478,1.23,55.84,2.0828621139625927,2.9479999999999995,0.15755555555555556,0.08750699999999997,0.833
795,Mine_00795,Tiruppur,Silica Sand,6.69,13.373674,78.451475,Active,253.7,463.23,158.04,22.8,30.25,14.25,35.29,7.89,809.18,17.68,298.52,6.17,0.41,0.717,0.518,3.82,188.91,1.8258967284193932,2.7399999999999998,0.3928888888888889,0.42303,0.936
796,Mine_00796,Tiruppur,Silica Sand,3.1,12.992545,80.484545,Active,221.95,506.08,159.66,22.68,29.24,15.08,35.18,9.24,768.32,8.89,37.66,6.06,0.477,0.834,0.244,1.69,25.46,2.2801531876548773,2.594,0.19755555555555557,0.436182,0.93
797,Mine_00797,Theni,Limestone,16.46,13.178673,78.383713,Active,276.21,552.17,188.14,22.9,31.0,15.06,37.79,7.95,733.82,20.36,152.51,10.92,0.618,0.515,0.29,3.25,65.61,1.9990948915680098,2.984,0.4524444444444444,0.19673000000000002,0.922
798,Mine_00798,Kanyakumari,Granite,71.64,9.666596,80.349464,Closed,128.63,258.55,87.06,25.18,32.58,18.37,39.58,12.65,664.54,20.91,138.64,8.67,0.942,0.353,0.402,4.42,163.68,2.010028764673871,2.693,0.4646666666666667,0.020474000000000016,0.857
799,Mine_00799,Vellore,Iron Ore,45.09,9.689814,77.66511,Closed,149.08,283.64,99.79,24.67,32.23,16.75,39.74,10.8,477.73,8.84,266.91,4.05,0.838,0.479,0.419,2.76,43.38,1.902602629460692,2.894,0.19644444444444445,0.07759800000000001,0.794
800,Mine_00800,Karur,Sand,15.31,11.188521,77.555312,Active,199.97,402.35,143.71,23.93,32.02,16.57,37.77,8.74,1421.7,38.35,14.63,15.2,0.357,0.953,0.516,4.2,64.64,2.012051807771166,2.903,0.8522222222222222,0.612779,1.184
801,Mine_00801,Namakkal,Granite,7.07,11.619562,80.489872,Active,200.17,395.03,140.4,23.87,32.25,15.31,38.61,9.96,459.02,10.55,144.76,4.37,0.796,0.298,0.761,4.29,126.43,1.9734725483339162,2.8649999999999998,0.23444444444444446,0.060791999999999985,0.846
802,Mine_00802,Kanyakumari,Silica Sand,20.48,8.633304,79.974731,Active,95.78,191.21,63.78,25.15,32.84,17.19,40.44,11.01,204.43,14.19,130.99,6.89,0.364,0.637,0.577,0.65,85.65,1.9963457924410106,2.943,0.3153333333333333,0.405132,0.967
803,Mine_00803,Namakkal,Silica Sand,43.12,10.431184,78.917051,Active,163.0,351.42,124.39,25.14,32.21,17.64,37.82,11.46,748.84,12.62,199.22,5.06,0.439,0.769,0.659,4.72,87.22,2.155950920245399,2.636,0.28044444444444444,0.431409,0.974
804,Mine_00804,Cuddalore,Salt,112.87,11.56821,80.295547,Active,207.25,397.52,150.97,23.65,31.0,16.48,38.46,9.39,577.57,8.35,133.34,5.66,0.723,0.161,0.547,2.46,82.54,1.9180699638118215,2.907,0.18555555555555556,0.044597000000000005,0.798
805,Mine_00805,Karur,Limestone,36.83,11.199552,77.806578,Active,180.88,331.52,115.9,23.63,31.51,14.53,37.36,8.61,2198.38,17.54,313.24,6.66,0.653,0.545,0.781,0.86,157.78,1.8328173374613002,2.875,0.3897777777777778,0.189115,0.906
806,Mine_00806,Tiruppur,Granite,19.89,8.894634,79.304646,Active,92.76,157.85,56.46,24.76,31.88,16.51,40.46,11.29,290.88,8.92,7.84,5.38,0.876,0.328,0.658,1.31,97.44,1.7017033203967227,2.9170000000000003,0.19822222222222222,0.040672,0.77
807,Mine_00807,Madurai,Silica Sand,32.15,11.273764,79.923609,Active,165.35,359.72,115.45,23.85,31.76,15.46,37.83,8.41,499.37,6.89,107.19,5.95,0.394,0.689,0.53,1.43,114.96,2.17550650136075,2.9419999999999997,0.15311111111111111,0.41753399999999996,0.953
808,Mine_00808,Dharmapuri,Salt,64.98,10.971534,76.356761,Active,169.58,392.53,133.26,23.67,30.35,16.8,36.42,9.11,918.61,15.51,112.23,5.82,0.804,0.179,0.616,2.92,71.77,2.3147187168298147,2.7310000000000003,0.3446666666666667,0.03508399999999999,0.912
809,Mine_00809,Tuticorin,Granite,14.06,8.789082,76.681505,Active,111.15,237.96,82.53,24.81,31.67,16.71,38.22,10.48,1446.44,33.12,349.04,10.02,0.852,0.319,0.655,3.96,33.01,2.1408906882591094,2.774,0.736,0.047212000000000004,1.006
810,Mine_00810,Vellore,Sandstone,112.25,12.153235,78.639808,Active,183.45,367.53,135.28,23.73,31.66,16.36,38.85,8.43,449.53,2.68,245.89,4.62,0.542,0.65,0.595,3.36,172.97,2.0034341782502043,3.0420000000000003,0.059555555555555556,0.29769999999999996,0.872
811,Mine_00811,Vellore,Silica Sand,25.91,11.465512,79.728938,Active,211.42,446.75,159.34,24.33,31.4,17.06,38.87,8.99,536.17,13.26,352.89,6.7,0.389,0.68,0.667,4.43,184.44,2.1130924226657837,2.9879999999999995,0.2946666666666667,0.41548,1.001
812,Mine_00812,Erode,Limestone,113.13,8.683902,79.938101,Active,99.51,201.97,78.58,25.03,31.41,17.15,38.26,10.33,721.78,7.22,204.71,6.28,0.636,0.53,0.575,1.55,182.69,2.0296452617827354,2.793,0.16044444444444445,0.19292,0.849
813,Mine_00813,Virudhunagar,Silica Sand,1.64,10.229826,78.323275,Active,161.73,348.5,110.91,24.55,31.41,15.72,36.33,9.14,371.01,11.4,352.62,6.39,0.455,0.797,0.704,1.21,141.26,2.1548259444753604,2.719,0.25333333333333335,0.43436499999999995,0.98
814,Mine_00814,Tiruvannamalai,Silica Sand,26.26,12.453213,80.277398,Active,214.33,506.41,144.76,23.38,31.8,15.08,38.47,8.83,294.59,2.38,179.8,4.99,0.476,0.834,0.438,3.19,172.29,2.3627583632715905,2.964,0.05288888888888889,0.437016,0.96
